new_filename,label,file_path,hash,has_vignette_border
021731.jpg,benign,data/all_images/021731.jpg,858cc1616ef453db,False
041108.jpg,benign,data/all_images/041108.jpg,86fc4d30769d0cea,False
022085.jpg,benign,data/all_images/022085.jpg,c1824cfe73fa5c88,False
007799.jpg,malignant,data/all_images/007799.jpg,bc36d2d8c38c2763,False
027589.jpg,benign,data/all_images/027589.jpg,c57618c93739d0dc,False
009178.jpg,malignant,data/all_images/009178.jpg,e3fbccc017901f94,False
030469.jpg,benign,data/all_images/030469.jpg,94d349f6368b5847,False
003693.jpg,benign,data/all_images/003693.jpg,e5e2966eda729181,False
006599.jpg,malignant,data/all_images/006599.jpg,b0c6c9393ee3e21c,False
038787.jpg,benign,data/all_images/038787.jpg,80ff1b6c0e9b246e,False
026207.jpg,benign,data/all_images/026207.jpg,81714ccc37237bcd,False
037512.jpg,benign,data/all_images/037512.jpg,843319e7665919af,False
027897.jpg,benign,data/all_images/027897.jpg,b199cc64cc3619ed,False
029542.jpg,benign,data/all_images/029542.jpg,b5ca8c6d19f25466,False
043092.jpg,malignant,data/all_images/043092.jpg,909e94c9cbc6ceb1,False
025789.jpg,benign,data/all_images/025789.jpg,a6d9986665997691,False
017042.jpg,benign,data/all_images/017042.jpg,e7c2987310b346fa,False
041996.jpg,benign,data/all_images/041996.jpg,b0c6cc93c6997c1d,False
026340.jpg,benign,data/all_images/026340.jpg,90f708992677cdc9,False
035800.jpg,benign,data/all_images/035800.jpg,f1a6cf32cd824cd8,False
039238.jpg,benign,data/all_images/039238.jpg,c59e9e25719e4619,False
025782.jpg,benign,data/all_images/025782.jpg,810d1c3636dd1e77,False
010061.jpg,malignant,data/all_images/010061.jpg,d0bc0fcb3c6d3033,True
005273.jpg,benign,data/all_images/005273.jpg,ad9196628d6dc4cb,False
019883.jpg,benign,data/all_images/019883.jpg,8061016726df5d7f,False
010981.jpg,benign,data/all_images/010981.jpg,86c95933d958664f,False
039520.jpg,benign,data/all_images/039520.jpg,814b4c40237fdc7f,False
024061.jpg,benign,data/all_images/024061.jpg,86e5196666cd9933,False
031110.jpg,benign,data/all_images/031110.jpg,c4ba982c719e5e4d,False
036471.jpg,benign,data/all_images/036471.jpg,8005095d373f1fdb,False
006122.jpg,malignant,data/all_images/006122.jpg,c688193727cd5973,False
040271.jpg,benign,data/all_images/040271.jpg,d12b4c6f33cc4c63,False
024151.jpg,benign,data/all_images/024151.jpg,bd63c486c48d979a,False
