new_filename,label,file_path,hash,has_vignette_border
018225.jpg,benign,data/all_images/018225.jpg,b3a0cdcc363399ca,False
024064.jpg,benign,data/all_images/024064.jpg,c4e09b916566d69b,False
004411.jpg,benign,data/all_images/004411.jpg,e6f399cc64247233,False
023978.jpg,benign,data/all_images/023978.jpg,845d192766d99976,False
000201.jpg,malignant,data/all_images/000201.jpg,d52f903740f7469c,False
028175.jpg,benign,data/all_images/028175.jpg,806b01f725dd4377,False
035095.jpg,benign,data/all_images/035095.jpg,8698dd27d99862d9,False
007771.jpg,malignant,data/all_images/007771.jpg,b547551a506e527e,False
037982.jpg,benign,data/all_images/037982.jpg,91dd0d337653598c,False
036484.jpg,benign,data/all_images/036484.jpg,b342cccc713971ea,False
008583.jpg,malignant,data/all_images/008583.jpg,85d8d567563a1e0e,True
028684.jpg,benign,data/all_images/028684.jpg,81e259df262f9913,False
043173.jpg,benign,data/all_images/043173.jpg,8463191e279f1d1f,False
014184.jpg,benign,data/all_images/014184.jpg,80fc89d9273699d9,False
011627.jpg,benign,data/all_images/011627.jpg,84e051d95d67362f,False
041643.jpg,benign,data/all_images/041643.jpg,f098cde6769b3130,False
040868.jpg,benign,data/all_images/040868.jpg,863e9999266459cf,False
040254.jpg,benign,data/all_images/040254.jpg,d0d458dd56b95ca1,False
044134.jpg,benign,data/all_images/044134.jpg,93c2cc893377cc6c,False
017189.jpg,benign,data/all_images/017189.jpg,d0540da33abac977,False
041502.jpg,benign,data/all_images/041502.jpg,81bc4cbf73b90c26,False
020413.jpg,benign,data/all_images/020413.jpg,8373498c66737399,False
027647.jpg,benign,data/all_images/027647.jpg,90464f99332f666e,False
000835.jpg,benign,data/all_images/000835.jpg,e9c6951a1aa16f96,False
027847.jpg,benign,data/all_images/027847.jpg,d4fb04dc36a349b4,False
023333.jpg,benign,data/all_images/023333.jpg,86f619d966669899,False
004911.jpg,benign,data/all_images/004911.jpg,84570d82327fcdd3,False
014706.jpg,benign,data/all_images/014706.jpg,e4a080819bd3f3f7,False
020722.jpg,benign,data/all_images/020722.jpg,807bc1ae26be5b54,False
042255.jpg,benign,data/all_images/042255.jpg,d4e5599b66a48993,False
004296.jpg,benign,data/all_images/004296.jpg,84f84d761b897671,False
020865.jpg,benign,data/all_images/020865.jpg,80e65cf17a7e161a,False
043540.jpg,benign,data/all_images/043540.jpg,9476d9896662cec9,False
003982.jpg,benign,data/all_images/003982.jpg,808e193767dd1d72,False
025005.jpg,benign,data/all_images/025005.jpg,91b9ccc671744e33,False
034116.jpg,benign,data/all_images/034116.jpg,d1f60cd55caba550,False
005978.jpg,malignant,data/all_images/005978.jpg,806e599b366c4ece,True
018451.jpg,benign,data/all_images/018451.jpg,84dfcb2431c6669d,False
039058.jpg,benign,data/all_images/039058.jpg,a689dd662289dcf8,False
030048.jpg,benign,data/all_images/030048.jpg,b1ce8c300b76d43f,False
042009.jpg,benign,data/all_images/042009.jpg,a62699997366479c,False
001536.jpg,benign,data/all_images/001536.jpg,800f0c3773dc5773,False
022009.jpg,benign,data/all_images/022009.jpg,9ce0c33c701ee35b,False
040946.jpg,benign,data/all_images/040946.jpg,802308dd03375fff,False
044089.jpg,benign,data/all_images/044089.jpg,93b74c8c73334acc,False
007020.jpg,malignant,data/all_images/007020.jpg,8017111f577b5d9c,False
